,BALANCE_FREQUENCY,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PRC_FULL_PAYMENT,TENURE,BALANCE_log,PURCHASES_log,ONEOFF_PURCHASES_log,INSTALLMENTS_PURCHASES_log,CASH_ADVANCE_log,PAYMENTS_log,MINIMUM_PAYMENTS_log
0,0.818182,0.166667,0.0,0.083333,0.0,0.0,0.0055865921787709,0.0317195325542571,0.0,1,0.3790449186812894,0.4229940419519034,0.0,0.455878912816156,0.0,0.4903239318741358,0.438874031793633
1,0.909091,0.0,0.0,0.0,0.1666666666666666,0.032520325203252,0.0,0.2320534223706177,0.222222,1,0.8191158427950722,0.0,0.0,0.0,0.8150754869227221,0.7679185605738317,0.6200126223673178
2,1.0,1.0,1.0,0.0,0.0,0.0,0.0335195530726257,0.2487479131886477,0.0,1,0.7937990503727781,0.615883626603055,0.6266105378478742,0.0,0.0,0.593924651072179,0.5723026584883719
3,0.636364,0.083333,0.083333,0.0,0.0555553333333333,0.008130081300813,0.0027932960893854,0.2487479131886477,0.0,1,0.7528714820654958,0.6771247569119678,0.6889183114981265,0.0,0.4954719679960768,0.0,0.5103248103153541
4,1.0,0.083333,0.083333,0.0,0.0,0.0,0.0027932960893854,0.0383973288814691,0.0,1,0.6806763667828295,0.2623247755886507,0.2668937143678435,0.0,0.0,0.601905026981797,0.488692547904882
5,1.0,0.666667,0.0,0.583333,0.0,0.0,0.0223463687150838,0.0584307178631051,0.0,1,0.761228752746319,0.6662850423672966,0.0,0.7180841113941909,0.0,0.6687188011218324,0.6920067397276725
6,1.0,1.0,1.0,1.0,0.0,0.0,0.1787709497206704,0.4490818030050084,1.0,1,0.6538074788903169,0.8209623213324713,0.8256427532173239,0.6521891211170016,0.0,0.8082837338140224,0.4699086319860399
7,1.0,1.0,0.0,1.0,0.0,0.0,0.0335195530726257,0.0751252086811352,0.0,1,0.7620004880806236,0.5629781265800367,0.0,0.6067457950477841,0.0,0.6020042018419663,0.5576558396873492
8,1.0,0.333333,0.083333,0.25,0.0,0.0,0.0139664804469273,0.2320534223706177,0.0,1,0.7025770933514274,0.6258862223378766,0.6119352184753983,0.5292024940150241,0.0,0.603246295240429,0.5102165523156721
9,0.545455,0.166667,0.166667,0.0,0.0,0.0,0.0083798882681564,0.3656093489148581,0.0,1,0.5106201546465303,0.6626275351353988,0.6741685900534766,0.0,0.0,0.6517497160212886,0.40972723818152
10,1.0,1.0,0.0,1.0,0.0,0.0,0.0335195530726257,0.0383973288814691,0.0,1,0.7271377922004088,0.6319755104054197,0.0,0.6811072498340698,0.0,0.645062809911144,0.6828779821775188
11,0.818182,0.25,0.25,0.0,0.0,0.0,0.0167597765363128,0.0651085141903172,0.0,1,0.6543766792022111,0.6767028250534175,0.6884890308070979,0.0,0.0,0.605539567660951,0.448503768512559
12,1.0,1.0,0.25,0.916667,0.0,0.0,0.0726256983240223,0.0984974958263773,0.25,1,0.7433244758911701,0.7478260561091824,0.7370853257552246,0.6563537304520511,0.0,0.5918568806584145,0.5503756056705394
13,1.0,0.75,0.166667,0.75,0.0,0.0,0.0726256983240223,0.2487479131886477,0.083333,1,0.69280905384451,0.7099791410974264,0.5692177631622859,0.7433635735127196,0.0,0.6841991212137599,0.4909637545761699
14,1.0,0.0,0.0,0.0,0.0555553333333333,0.008130081300813,0.0,0.0984974958263773,0.0,1,0.8045006735566637,0.0,0.0,0.0,0.5437921912015901,0.6177598685120588,0.61289861224751
15,1.0,0.5,0.0,0.5,0.1111113333333333,0.032520325203252,0.0307262569832402,0.2654424040066778,0.0,1,0.89678915033791,0.6838323476932432,0.0,0.7369955987473752,0.7194370998233911,0.7013135385837175,0.680266607988544
16,0.875,0.0,0.0,0.0,0.1666666666666666,0.024390243902439,0.0,0.0984974958263773,0.0,0,0.7749532324925059,0.0,0.0,0.0,0.7371266874632021,0.5513823340721329,0.5269379516906489
17,0.454545,0.416667,0.0,0.333333,0.0,0.0,0.0223463687150838,0.0818030050083472,0.25,1,0.3795009877578399,0.579036606264771,0.0,0.6240527108293294,0.0,0.511677446809508,0.381994024381001
18,1.0,0.666667,0.083333,0.583333,0.0,0.0,0.0251396648044692,0.4323873121869783,0.0,1,0.7708067302499031,0.5763906353188482,0.4821240806214574,0.5814638103628942,0.0,0.6877479768055365,0.5875557507948473
19,1.0,1.0,0.0,1.0,0.0,0.0,0.0335195530726257,0.1318864774624374,0.0,1,0.8303636336319984,0.554661157960763,0.0,0.5977822394511508,0.0,0.6425325365274809,0.8384808772379733
20,1.0,0.666667,0.0,0.666667,0.0,0.0,0.0223463687150838,0.0651085141903172,0.0,1,0.772205046242062,0.4796102596062536,0.0,0.5168966511108312,0.0,0.499528340288584,0.8459597915752576
21,1.0,1.0,0.916667,1.0,0.2222219999999999,0.048780487804878,0.2569832402234637,0.3739565943238732,0.0,1,0.8888756543682208,0.8108894509930222,0.8181025393706514,0.6098269282770763,0.5053697006230248,0.7051444309946311,0.6589003489910572
22,0.636364,1.0,0.0,1.0,0.0,0.0,0.047486033519553,0.0584307178631051,0.0,1,0.4965154786349613,0.6208579965102314,0.0,0.6691254258717994,0.0,0.7168723008371223,0.3965048081859915
23,0.818182,1.0,0.083333,0.916667,0.2222219999999999,0.1056910569105691,0.0363128491620111,0.2988313856427379,0.0,1,0.8364754216541261,0.7735379095766476,0.7675315187103902,0.6663873860592362,0.8348901829224747,0.8451946604096614,0.6453489861974713
24,1.0,0.0,0.0,0.0,0.242424,0.032520325203252,0.0,0.1986644407345576,0.0,0,0.8715298160578321,0.0,0.0,0.0,0.6211921676999049,0.6702002659063839,0.658751517245061
25,1.0,1.0,0.0,1.0,0.0,0.0,0.0335195530726257,0.0984974958263773,0.0,1,0.5216275173778282,0.5548833053495104,0.0,0.5980216572680065,0.0,0.49627403704473,0.4526490960723625
26,1.0,0.166667,0.166667,0.0,0.1666666666666666,0.040650406504065,0.0055865921787709,0.0550918196994991,0.0,1,0.7497383549556986,0.4291255525469634,0.4365996783659017,0.0,0.5115477303684175,0.6269583758106294,0.6111941094678549
27,1.0,1.0,0.0,1.0,0.0,0.0,0.0335195530726257,0.0317195325542571,0.0,1,0.4913261944123465,0.5052141927813157,0.0,0.5444911135902626,0.0,0.4930025437117986,0.4535910525285749
28,1.0,0.666667,0.166667,0.416667,0.5555553333333333,0.1300813008130081,0.0223463687150838,0.3489148580968281,0.0,1,0.900643844984643,0.5519362648214202,0.5016893646182393,0.5201128445751283,0.7167615574676957,0.6811152965261773,0.6583124377247553
29,1.0,0.416667,0.0,0.416667,0.0,0.0,0.0139664804469273,0.2287145242070117,0.0,1,0.3184581849457311,0.4273100211231179,0.0,0.4605304296158518,0.0,0.4694575720713166,0.4508265569625608
30,1.0,1.0,0.166667,1.0,0.3333333333333333,0.0813008130081301,0.1787709497206704,0.4323873121869783,0.0,1,0.954286677506419,0.7424988622776418,0.6520510369597735,0.7597530738746652,0.7495769193282236,0.7707378724099716,0.7198828230996555
31,1.0,1.0,0.083333,1.0,0.1111113333333333,0.016260162601626,0.1256983240223463,0.1986644407345576,0.0,1,0.7163207316413708,0.667281001439063,0.564641781201384,0.6840522571572135,0.4809205065023771,0.5974034759832848,0.4929591135345069
32,1.0,0.083333,0.083333,0.0,0.1111113333333333,0.024390243902439,0.0083798882681564,0.3489148580968281,0.0,1,0.8945035489767772,0.535789626700428,0.5451215321501804,0.0,0.6581416986904851,0.6877094529599755,0.6956135042265791
33,1.0,0.916667,0.916667,0.0,0.0,0.0,0.0307262569832402,0.0383973288814691,0.3,1,0.4912986668010637,0.5979414804920893,0.6083558914518539,0.0,0.0,0.5584939945083567,0.4691156656569531
34,0.727273,1.0,0.0,1.0,0.0,0.0,0.0391061452513966,0.3656093489148581,0.0,1,0.8286229309862638,0.5839398763407032,0.0,0.6293371763531113,0.0,0.837656723606543,0.8705270749085825
35,1.0,0.0,0.0,0.0,0.0555553333333333,0.008130081300813,0.0,0.0584307178631051,0.0,1,0.752241582432214,0.0,0.0,0.0,0.4282017660887235,0.54134980262526,0.5733296301807235
36,1.0,0.0,0.0,0.0,0.4848486666666666,0.0894308943089431,0.0,0.2988313856427379,0.0,0,0.9044608081446476,0.0,0.0,0.0,0.8448154452287993,0.6831047041474968,0.6749153533206489
37,1.0,0.75,0.5,0.75,0.2222219999999999,0.056910569105691,0.1145251396648044,0.1652754590984975,0.0,1,0.8428722553927177,0.7199274578676761,0.6975059516935259,0.6591761636387642,0.691172439964973,0.6820577612749108,0.6522978287725025
38,1.0,0.083333,0.083333,0.0,0.2222219999999999,0.0975609756097561,0.0055865921787709,0.2988313856427379,0.0,1,0.8872682861680201,0.4928528948104252,0.5014369665912312,0.0,0.7417293913075875,0.6573066989347284,0.6776760822493073
39,0.454545,0.083333,0.083333,0.0,0.2222219999999999,0.048780487804878,0.0167597765363128,0.2487479131886477,0.333333,1,0.736026998398669,0.6362114546134325,0.6472924178210714,0.0,0.8111089301365113,0.9144333536811724,0.5845589314254519
40,0.727273,0.0,0.0,0.0,0.1666666666666666,0.024390243902439,0.0,0.0584307178631051,0.166667,1,0.6594902507354428,0.0,0.0,0.0,0.7480908916549082,0.7410658770468079,0.5016695674737117
41,0.909091,0.583333,0.416667,0.333333,0.1666666666666666,0.0894308943089431,0.0754189944134078,0.0984974958263773,0.111111,1,0.6765240877025943,0.6788123070613887,0.6281948121599037,0.6594336063566372,0.7147576128328138,0.6591663444701643,0.523709795867915
42,1.0,0.083333,0.083333,0.0,0.0,0.0,0.0027932960893854,0.1485809682804674,0.0,1,0.844296696480842,0.4927715613198729,0.501354216506542,0.0,0.0,0.6246614404317142,0.666184162004065
43,1.0,0.0,0.0,0.0,0.0555553333333333,0.008130081300813,0.0,0.0484140233722871,0.0,1,0.7323060117610162,0.0,0.0,0.0,0.6785292218324009,0.5481118664456447,0.5128503928032271
44,1.0,1.0,0.333333,1.0,0.0,0.0,0.0558659217877095,0.2821368948247079,0.0,1,0.8705303699975686,0.6787425778763998,0.5797585228913968,0.6948039572951882,0.0,0.6706926214956719,0.6384217991639901
45,1.0,0.333333,0.083333,0.333333,0.1111113333333333,0.016260162601626,0.0139664804469273,0.0784641068447412,0.0,1,0.7829617958274941,0.5631473937862024,0.4319120560424253,0.5819478240994578,0.4854506249964843,0.0,0.5103248103153541
46,0.5,0.375,0.0,0.25,0.0833333333333333,0.008130081300813,0.0083798882681564,0.0550918196994991,0.0,0,0.6255260607889135,0.4358342023876842,0.0,0.4697173072125347,0.643287039547824,0.4777703247304324,0.4436210138696839
47,1.0,0.0,0.0,0.0,0.3333333333333333,0.056910569105691,0.0,0.1385642737896494,0.0,1,0.8393692752525264,0.0,0.0,0.0,0.7055023839185539,0.0,0.5103248103153541
48,1.0,1.0,0.666667,1.0,0.0,0.0,0.2430167597765363,0.1085141903171953,0.916667,1,0.5522182226033735,0.7203173564427193,0.682683128188174,0.6881692256742908,0.0,0.7238118451240526,0.4592696283805891
49,1.0,0.166667,0.166667,0.0,0.0555553333333333,0.016260162601626,0.0083798882681564,0.1318864774624374,0.083333,1,0.6862346730811391,0.5769659802255609,0.5870150586452875,0.0,0.6082694016886221,0.5887138725360789,0.5026403442312738
50,1.0,0.625,0.375,0.25,0.5833333333333333,0.3008130081300813,0.0251396648044692,0.3989983305509182,0.0,0,0.8629108032132151,0.6300764815505815,0.6097166741603558,0.5534746368827451,0.8411553868106378,0.8308362016283957,0.6148946281647432
51,1.0,0.666667,0.583333,0.5,0.0,0.0,0.0502793296089385,0.0818030050083472,0.0,1,0.7087729213558444,0.7446025872955944,0.7259655657959367,0.6773531184990705,0.0,0.6687036851560719,0.638673352755706
52,1.0,0.0,0.0,0.0,0.1666666666666666,0.024390243902439,0.0,0.1151919866444073,0.0,1,0.7465324245115295,0.0,0.0,0.0,0.5367300933233418,0.6037200158190668,0.5655591028167665
53,0.888889,0.666667,0.666667,0.0,0.074074,0.008130081300813,0.0307262569832402,0.0984974958263773,0.2,0,0.6234184405971144,0.7028407266360269,0.7150821790276947,0.0,0.7055207770440474,0.7423503775487198,0.4342789095099463
54,0.636364,0.666667,0.0,0.666667,0.0,0.0,0.0223463687150838,0.0317195325542571,0.0,1,0.2066138767939651,0.5314424664741626,0.0,0.5727584547588627,0.0,0.5570843778567578,0.5103248103153541
55,1.0,0.25,0.25,0.0,0.0,0.0,0.0167597765363128,0.1986644407345576,0.0,1,0.7286068440232081,0.6627934202919564,0.6743373644496151,0.0,0.0,0.0,0.5103248103153541
56,1.0,0.25,0.25,0.0,0.2777779999999999,0.040650406504065,0.0111731843575419,0.1318864774624374,0.0,1,0.8316944918625723,0.5324109096585719,0.5416839676308727,0.0,0.6046447057870524,0.0,0.5103248103153541
57,1.0,0.916667,0.916667,0.5,0.0,0.0,0.1173184357541899,0.2487479131886477,0.083333,1,0.7892759215906258,0.7925619187158318,0.7982944891632218,0.6049796427414006,0.0,0.7979102388287647,0.6379344258590604
58,1.0,0.0,0.0,0.0,0.121212,0.024390243902439,0.0,0.1318864774624374,0.0,0,0.8409404479052691,0.0,0.0,0.0,0.5035531958416943,0.6129800471003267,0.6556465496240965
59,1.0,0.416667,0.0,0.333333,0.2222219999999999,0.032520325203252,0.0167597765363128,0.1986644407345576,0.0,1,0.8738711866048801,0.503507064633625,0.0,0.5426512679971287,0.6392563927024325,0.7065804758436712,0.6707023591077116
60,0.727273,0.166667,0.166667,0.0,0.0,0.0,0.0055865921787709,0.2153589315525876,0.0,1,0.7650389674789219,0.4385205221925392,0.4461582812064233,0.0,0.0,0.7535049888930379,0.5603022899901374
61,1.0,0.083333,0.083333,0.0,0.0,0.0,0.0027932960893854,0.0517529215358931,0.0,1,0.7458899732047587,0.3895848304978689,0.39637027131585,0.0,0.0,0.5377681267761533,0.5979851284671333
62,0.909091,0.0,0.0,0.0,0.3636366666666666,0.056910569105691,0.0,0.1368948247078464,0.090909,0,0.6796634796605391,0.0,0.0,0.0,0.7664998555891834,0.7737808905857223,0.4875449619581841
63,0.090909,0.083333,0.083333,0.0,0.0,0.0,0.0027932960893854,0.0517529215358931,0.0,1,0.2129284942580716,0.6235500230118036,0.634410460705926,0.0,0.0,0.0,0.5103248103153541
64,1.0,1.0,0.0,1.0,0.0555553333333333,0.032520325203252,0.1703910614525139,0.0601001669449081,0.083333,1,0.7674271858138918,0.6984565425029403,0.0,0.7527567238920514,0.6860146030015248,0.7580790795355073,0.7192034040935339
65,1.0,0.583333,0.333333,0.166667,0.0,0.0,0.0307262569832402,0.0584307178631051,0.0,1,0.7582854270793788,0.5577797603789701,0.5451966439685485,0.446917346454982,0.0,0.6144757566152835,0.6042125979795645
66,0.875,0.0,0.0,0.0,0.0833333333333333,0.008130081300813,0.0,0.0484140233722871,0.0,0,0.6796965839560453,0.0,0.0,0.0,0.6331114932933571,0.4606686093612903,0.4611432557608315
67,1.0,0.0,0.0,0.0,0.2777779999999999,0.048780487804878,0.0,0.0818030050083472,0.0,1,0.7472182300509862,0.0,0.0,0.0,0.5529684285810978,0.5808923766987772,0.5211639000091787
68,1.0,0.666667,0.083333,0.583333,0.0,0.0,0.0223463687150838,0.1986644407345576,0.083333,1,0.8414344677723905,0.5164475021217911,0.4950689161764318,0.4293561088904323,0.0,0.8155766841655975,0.6139393556588861
69,1.0,0.333333,0.333333,0.0,0.0,0.0,0.0111731843575419,0.0550918196994991,0.0,1,0.7548458683797693,0.6683715826280714,0.6800126822380008,0.0,0.0,0.6823947830396948,0.606714328216424
70,1.0,0.916667,0.0,0.833333,0.2222219999999999,0.032520325203252,0.0307262569832402,0.2070116861435726,0.0,1,0.873756248396886,0.5592840072576863,0.0,0.6027644834134286,0.5984652330712399,0.6610399097149458,0.6832127741724854
